U+1F947.png, 🥇, U+1F947
U+1F3F4_U+E0067_U+E0062_U+E0065_U+E006E_U+E0067_U+E007F.png, 🏴󠁧󠁢󠁥󠁮󠁧󠁿, U+1F3F4 U+E0067 U+E0062 U+E0065 U+E006E U+E0067 U+E007F
U+1F1EC_U+1F1F6.png, 🇬🇶, U+1F1EC U+1F1F6
U+1F1EA_U+1F1F7.png, 🇪🇷, U+1F1EA U+1F1F7
U+1F1EA_U+1F1EA.png, 🇪🇪, U+1F1EA U+1F1EA
U+1F1F8_U+1F1FF.png, 🇸🇿, U+1F1F8 U+1F1FF
U+1F1EA_U+1F1F9.png, 🇪🇹, U+1F1EA U+1F1F9
U+1F1EA_U+1F1FA.png, 🇪🇺, U+1F1EA U+1F1FA
U+1F193.png, 🆓, U+1F193
U+1F1EB_U+1F1F0.png, 🇫🇰, U+1F1EB U+1F1F0
U+1F1EB_U+1F1F4.png, 🇫🇴, U+1F1EB U+1F1F4
U+1F1EB_U+1F1EF.png, 🇫🇯, U+1F1EB U+1F1EF
U+1F1EB_U+1F1EE.png, 🇫🇮, U+1F1EB U+1F1EE
U+1F1EB_U+1F1F7.png, 🇫🇷, U+1F1EB U+1F1F7
U+1F1EC_U+1F1EB.png, 🇬🇫, U+1F1EC U+1F1EB
U+1F1F5_U+1F1EB.png, 🇵🇫, U+1F1F5 U+1F1EB
U+1F1F9_U+1F1EB.png, 🇹🇫, U+1F1F9 U+1F1EB
U+1F1EC_U+1F1E6.png, 🇬🇦, U+1F1EC U+1F1E6
U+1F1EC_U+1F1F2.png, 🇬🇲, U+1F1EC U+1F1F2
U+264A.png, ♊, U+264A
U+1F1EC_U+1F1EA.png, 🇬🇪, U+1F1EC U+1F1EA
U+1F1E9_U+1F1EA.png, 🇩🇪, U+1F1E9 U+1F1EA
U+1F1EC_U+1F1ED.png, 🇬🇭, U+1F1EC U+1F1ED
U+1F1EC_U+1F1EE.png, 🇬🇮, U+1F1EC U+1F1EE
U+1F1EC_U+1F1F7.png, 🇬🇷, U+1F1EC U+1F1F7
U+1F1EC_U+1F1F1.png, 🇬🇱, U+1F1EC U+1F1F1
U+1F1EC_U+1F1E9.png, 🇬🇩, U+1F1EC U+1F1E9
U+1F1EC_U+1F1F5.png, 🇬🇵, U+1F1EC U+1F1F5
U+1F1EC_U+1F1FA.png, 🇬🇺, U+1F1EC U+1F1FA
U+1F1EC_U+1F1F9.png, 🇬🇹, U+1F1EC U+1F1F9
U+1F1EC_U+1F1EC.png, 🇬🇬, U+1F1EC U+1F1EC
U+1F1EC_U+1F1F3.png, 🇬🇳, U+1F1EC U+1F1F3
U+1F1EC_U+1F1FC.png, 🇬🇼, U+1F1EC U+1F1FC
U+1F1EC_U+1F1FE.png, 🇬🇾, U+1F1EC U+1F1FE
U+1F1ED_U+1F1F9.png, 🇭🇹, U+1F1ED U+1F1F9
U+1F1ED_U+1F1F2.png, 🇭🇲, U+1F1ED U+1F1F2
U+1F1ED_U+1F1F3.png, 🇭🇳, U+1F1ED U+1F1F3
U+1F1ED_U+1F1F0.png, 🇭🇰, U+1F1ED U+1F1F0
U+1F1ED_U+1F1FA.png, 🇭🇺, U+1F1ED U+1F1FA
U+1F194.png, 🆔, U+1F194
U+1F1EE_U+1F1F8.png, 🇮🇸, U+1F1EE U+1F1F8
U+1F1EE_U+1F1F3.png, 🇮🇳, U+1F1EE U+1F1F3
U+1F1EE_U+1F1E9.png, 🇮🇩, U+1F1EE U+1F1E9
U+1F1EE_U+1F1F7.png, 🇮🇷, U+1F1EE U+1F1F7
U+1F1EE_U+1F1F6.png, 🇮🇶, U+1F1EE U+1F1F6
U+1F1EE_U+1F1EA.png, 🇮🇪, U+1F1EE U+1F1EA
U+1F1EE_U+1F1F2.png, 🇮🇲, U+1F1EE U+1F1F2
U+1F1EE_U+1F1F1.png, 🇮🇱, U+1F1EE U+1F1F1
U+1F1EE_U+1F1F9.png, 🇮🇹, U+1F1EE U+1F1F9
U+1F1EF_U+1F1F2.png, 🇯🇲, U+1F1EF U+1F1F2
U+1F1EF_U+1F1F5.png, 🇯🇵, U+1F1EF U+1F1F5
U+1F251.png, 🉑, U+1F251
U+1F238.png, 🈸, U+1F238
U+1F250.png, 🉐, U+1F250
U+1F3EF.png, 🏯, U+1F3EF
U+3297_U+FE0F.png, ㊗️, U+3297 U+FE0F
U+3297.png, ㊗, U+3297
U+1F239.png, 🈹, U+1F239
U+1F38E.png, 🎎, U+1F38E
U+1F21A.png, 🈚, U+1F21A
U+1F201.png, 🈁, U+1F201
U+1F237_U+FE0F.png, 🈷️, U+1F237 U+FE0F
U+1F237.png, 🈷, U+1F237
U+1F235.png, 🈵, U+1F235
U+1F236.png, 🈶, U+1F236
U+1F23A.png, 🈺, U+1F23A
U+1F234.png, 🈴, U+1F234
U+1F3E3.png, 🏣, U+1F3E3
U+1F232.png, 🈲, U+1F232
U+1F22F.png, 🈯, U+1F22F
U+3299_U+FE0F.png, ㊙️, U+3299 U+FE0F
U+3299.png, ㊙, U+3299
U+1F202_U+FE0F.png, 🈂️, U+1F202 U+FE0F
U+1F202.png, 🈂, U+1F202
U+1F530.png, 🔰, U+1F530
U+1F233.png, 🈳, U+1F233
U+1F1EF_U+1F1EA.png, 🇯🇪, U+1F1EF U+1F1EA
U+1F1EF_U+1F1F4.png, 🇯🇴, U+1F1EF U+1F1F4
U+1F1F0_U+1F1FF.png, 🇰🇿, U+1F1F0 U+1F1FF
U+1F1F0_U+1F1EA.png, 🇰🇪, U+1F1F0 U+1F1EA
U+1F1F0_U+1F1EE.png, 🇰🇮, U+1F1F0 U+1F1EE
U+1F1FD_U+1F1F0.png, 🇽🇰, U+1F1FD U+1F1F0
U+1F1F0_U+1F1FC.png, 🇰🇼, U+1F1F0 U+1F1FC
U+1F1F0_U+1F1EC.png, 🇰🇬, U+1F1F0 U+1F1EC
U+1F1F1_U+1F1E6.png, 🇱🇦, U+1F1F1 U+1F1E6
U+1F1F1_U+1F1FB.png, 🇱🇻, U+1F1F1 U+1F1FB
U+1F1F1_U+1F1E7.png, 🇱🇧, U+1F1F1 U+1F1E7
U+264C.png, ♌, U+264C
U+1F1F1_U+1F1F8.png, 🇱🇸, U+1F1F1 U+1F1F8
U+1F1F1_U+1F1F7.png, 🇱🇷, U+1F1F1 U+1F1F7
U+264E.png, ♎, U+264E
U+1F1F1_U+1F1FE.png, 🇱🇾, U+1F1F1 U+1F1FE
U+1F1F1_U+1F1EE.png, 🇱🇮, U+1F1F1 U+1F1EE
U+1F1F1_U+1F1F9.png, 🇱🇹, U+1F1F1 U+1F1F9
U+1F1F1_U+1F1FA.png, 🇱🇺, U+1F1F1 U+1F1FA
U+1F1F2_U+1F1F4.png, 🇲🇴, U+1F1F2 U+1F1F4
U+1F1F2_U+1F1EC.png, 🇲🇬, U+1F1F2 U+1F1EC
U+1F1F2_U+1F1FC.png, 🇲🇼, U+1F1F2 U+1F1FC
U+1F1F2_U+1F1FE.png, 🇲🇾, U+1F1F2 U+1F1FE
U+1F1F2_U+1F1FB.png, 🇲🇻, U+1F1F2 U+1F1FB
U+1F1F2_U+1F1F1.png, 🇲🇱, U+1F1F2 U+1F1F1
U+1F1F2_U+1F1F9.png, 🇲🇹, U+1F1F2 U+1F1F9
U+1F1F2_U+1F1ED.png, 🇲🇭, U+1F1F2 U+1F1ED
U+1F1F2_U+1F1F6.png, 🇲🇶, U+1F1F2 U+1F1F6
U+1F1F2_U+1F1F7.png, 🇲🇷, U+1F1F2 U+1F1F7
U+1F1F2_U+1F1FA.png, 🇲🇺, U+1F1F2 U+1F1FA
U+1F1FE_U+1F1F9.png, 🇾🇹, U+1F1FE U+1F1F9
U+1F1F2_U+1F1FD.png, 🇲🇽, U+1F1F2 U+1F1FD
U+1F1EB_U+1F1F2.png, 🇫🇲, U+1F1EB U+1F1F2
U+1F1F2_U+1F1E9.png, 🇲🇩, U+1F1F2 U+1F1E9
U+1F1F2_U+1F1E8.png, 🇲🇨, U+1F1F2 U+1F1E8
U+1F1F2_U+1F1F3.png, 🇲🇳, U+1F1F2 U+1F1F3
U+1F1F2_U+1F1EA.png, 🇲🇪, U+1F1F2 U+1F1EA
U+1F1F2_U+1F1F8.png, 🇲🇸, U+1F1F2 U+1F1F8
U+1F1F2_U+1F1E6.png, 🇲🇦, U+1F1F2 U+1F1E6
U+1F1F2_U+1F1FF.png, 🇲🇿, U+1F1F2 U+1F1FF
U+1F936.png, 🤶, U+1F936
U+1F936_U+1F3FF.png, 🤶🏿, U+1F936 U+1F3FF
U+1F936_U+1F3FB.png, 🤶🏻, U+1F936 U+1F3FB
U+1F936_U+1F3FE.png, 🤶🏾, U+1F936 U+1F3FE
U+1F936_U+1F3FC.png, 🤶🏼, U+1F936 U+1F3FC
U+1F936_U+1F3FD.png, 🤶🏽, U+1F936 U+1F3FD
U+1F9D1_U+200D_U+1F384.png, 🧑‍🎄, U+1F9D1 U+200D U+1F384
U+1F9D1_U+1F3FF_U+200D_U+1F384.png, 🧑🏿‍🎄, U+1F9D1 U+1F3FF U+200D U+1F384
U+1F9D1_U+1F3FB_U+200D_U+1F384.png, 🧑🏻‍🎄, U+1F9D1 U+1F3FB U+200D U+1F384
U+1F9D1_U+1F3FE_U+200D_U+1F384.png, 🧑🏾‍🎄, U+1F9D1 U+1F3FE U+200D U+1F384
U+1F9D1_U+1F3FC_U+200D_U+1F384.png, 🧑🏼‍🎄, U+1F9D1 U+1F3FC U+200D U+1F384
U+1F9D1_U+1F3FD_U+200D_U+1F384.png, 🧑🏽‍🎄, U+1F9D1 U+1F3FD U+200D U+1F384
U+1F1F2_U+1F1F2.png, 🇲🇲, U+1F1F2 U+1F1F2
U+1F195.png, 🆕, U+1F195
U+1F196.png, 🆖, U+1F196
U+1F1F3_U+1F1E6.png, 🇳🇦, U+1F1F3 U+1F1E6
U+1F1F3_U+1F1F7.png, 🇳🇷, U+1F1F3 U+1F1F7
U+1F1F3_U+1F1F5.png, 🇳🇵, U+1F1F3 U+1F1F5
U+1F1F3_U+1F1F1.png, 🇳🇱, U+1F1F3 U+1F1F1
U+1F1F3_U+1F1E8.png, 🇳🇨, U+1F1F3 U+1F1E8
U+1F1F3_U+1F1FF.png, 🇳🇿, U+1F1F3 U+1F1FF
U+1F1F3_U+1F1EE.png, 🇳🇮, U+1F1F3 U+1F1EE
U+1F1F3_U+1F1EA.png, 🇳🇪, U+1F1F3 U+1F1EA
U+1F1F3_U+1F1EC.png, 🇳🇬, U+1F1F3 U+1F1EC
U+1F1F3_U+1F1FA.png, 🇳🇺, U+1F1F3 U+1F1FA
U+1F1F3_U+1F1EB.png, 🇳🇫, U+1F1F3 U+1F1EB
U+1F1F0_U+1F1F5.png, 🇰🇵, U+1F1F0 U+1F1F5
U+1F1F2_U+1F1F0.png, 🇲🇰, U+1F1F2 U+1F1F0
U+1F1F2_U+1F1F5.png, 🇲🇵, U+1F1F2 U+1F1F5
U+1F1F3_U+1F1F4.png, 🇳🇴, U+1F1F3 U+1F1F4
U+1F197.png, 🆗, U+1F197
U+1F44C.png, 👌, U+1F44C
U+1F44C_U+1F3FF.png, 👌🏿, U+1F44C U+1F3FF
U+1F44C_U+1F3FB.png, 👌🏻, U+1F44C U+1F3FB
U+1F44C_U+1F3FE.png, 👌🏾, U+1F44C U+1F3FE
U+1F44C_U+1F3FC.png, 👌🏼, U+1F44C U+1F3FC
U+1F44C_U+1F3FD.png, 👌🏽, U+1F44C U+1F3FD
U+1F51B.png, 🔛, U+1F51B
U+1F17E_U+FE0F.png, 🅾️, U+1F17E U+FE0F
U+1F17E.png, 🅾, U+1F17E
U+1F1F4_U+1F1F2.png, 🇴🇲, U+1F1F4 U+1F1F2
U+26CE.png, ⛎, U+26CE
U+1F17F_U+FE0F.png, 🅿️, U+1F17F U+FE0F
U+1F17F.png, 🅿, U+1F17F
U+1F1F5_U+1F1F0.png, 🇵🇰, U+1F1F5 U+1F1F0
U+1F1F5_U+1F1FC.png, 🇵🇼, U+1F1F5 U+1F1FC
U+1F1F5_U+1F1F8.png, 🇵🇸, U+1F1F5 U+1F1F8
U+1F1F5_U+1F1E6.png, 🇵🇦, U+1F1F5 U+1F1E6
U+1F1F5_U+1F1EC.png, 🇵🇬, U+1F1F5 U+1F1EC
U+1F1F5_U+1F1FE.png, 🇵🇾, U+1F1F5 U+1F1FE
U+1F1F5_U+1F1EA.png, 🇵🇪, U+1F1F5 U+1F1EA
U+1F1F5_U+1F1ED.png, 🇵🇭, U+1F1F5 U+1F1ED
U+2653.png, ♓, U+2653
U+1F1F5_U+1F1F3.png, 🇵🇳, U+1F1F5 U+1F1F3
U+1F1F5_U+1F1F1.png, 🇵🇱, U+1F1F5 U+1F1F1
U+1F1F5_U+1F1F9.png, 🇵🇹, U+1F1F5 U+1F1F9
U+1F1F5_U+1F1F7.png, 🇵🇷, U+1F1F5 U+1F1F7
U+1F1F6_U+1F1E6.png, 🇶🇦, U+1F1F6 U+1F1E6
U+1F1F7_U+1F1F4.png, 🇷🇴, U+1F1F7 U+1F1F4
U+1F1F7_U+1F1FA.png, 🇷🇺, U+1F1F7 U+1F1FA
U+1F1F7_U+1F1FC.png, 🇷🇼, U+1F1F7 U+1F1FC
U+1F1F7_U+1F1EA.png, 🇷🇪, U+1F1F7 U+1F1EA
U+1F51C.png, 🔜, U+1F51C
U+1F198.png, 🆘, U+1F198
U+2650.png, ♐, U+2650
U+1F1FC_U+1F1F8.png, 🇼🇸, U+1F1FC U+1F1F8
U+1F1F8_U+1F1F2.png, 🇸🇲, U+1F1F8 U+1F1F2
U+1F385.png, 🎅, U+1F385
U+1F385_U+1F3FF.png, 🎅🏿, U+1F385 U+1F3FF
U+1F385_U+1F3FB.png, 🎅🏻, U+1F385 U+1F3FB
U+1F385_U+1F3FE.png, 🎅🏾, U+1F385 U+1F3FE
U+1F385_U+1F3FC.png, 🎅🏼, U+1F385 U+1F3FC
U+1F385_U+1F3FD.png, 🎅🏽, U+1F385 U+1F3FD
U+1F1E8_U+1F1F6.png, 🇨🇶, U+1F1E8 U+1F1F6
U+1F1F8_U+1F1E6.png, 🇸🇦, U+1F1F8 U+1F1E6
U+264F.png, ♏, U+264F
U+1F3F4_U+E0067_U+E0062_U+E0073_U+E0063_U+E0074_U+E007F.png, 🏴󠁧󠁢󠁳󠁣󠁴󠁿, U+1F3F4 U+E0067 U+E0062 U+E0073 U+E0063 U+E0074 U+E007F
U+1F1F8_U+1F1F3.png, 🇸🇳, U+1F1F8 U+1F1F3
U+1F1F7_U+1F1F8.png, 🇷🇸, U+1F1F7 U+1F1F8
U+1F1F8_U+1F1E8.png, 🇸🇨, U+1F1F8 U+1F1E8
U+1F1F8_U+1F1F1.png, 🇸🇱, U+1F1F8 U+1F1F1
U+1F1F8_U+1F1EC.png, 🇸🇬, U+1F1F8 U+1F1EC
U+1F1F8_U+1F1FD.png, 🇸🇽, U+1F1F8 U+1F1FD
U+1F1F8_U+1F1F0.png, 🇸🇰, U+1F1F8 U+1F1F0
U+1F1F8_U+1F1EE.png, 🇸🇮, U+1F1F8 U+1F1EE
U+1F1F8_U+1F1E7.png, 🇸🇧, U+1F1F8 U+1F1E7
U+1F1F8_U+1F1F4.png, 🇸🇴, U+1F1F8 U+1F1F4
U+1F1FF_U+1F1E6.png, 🇿🇦, U+1F1FF U+1F1E6
U+1F1EC_U+1F1F8.png, 🇬🇸, U+1F1EC U+1F1F8
U+1F1F0_U+1F1F7.png, 🇰🇷, U+1F1F0 U+1F1F7
U+1F1F8_U+1F1F8.png, 🇸🇸, U+1F1F8 U+1F1F8
U+1F1EA_U+1F1F8.png, 🇪🇸, U+1F1EA U+1F1F8
U+1F1F1_U+1F1F0.png, 🇱🇰, U+1F1F1 U+1F1F0
U+1F1E7_U+1F1F1.png, 🇧🇱, U+1F1E7 U+1F1F1
U+1F1F8_U+1F1ED.png, 🇸🇭, U+1F1F8 U+1F1ED
U+1F1F0_U+1F1F3.png, 🇰🇳, U+1F1F0 U+1F1F3
U+1F1F1_U+1F1E8.png, 🇱🇨, U+1F1F1 U+1F1E8
U+1F1F2_U+1F1EB.png, 🇲🇫, U+1F1F2 U+1F1EB
U+1F1F5_U+1F1F2.png, 🇵🇲, U+1F1F5 U+1F1F2
U+1F1FB_U+1F1E8.png, 🇻🇨, U+1F1FB U+1F1E8
U+1F5FD.png, 🗽, U+1F5FD
U+1F1F8_U+1F1E9.png, 🇸🇩, U+1F1F8 U+1F1E9
U+1F1F8_U+1F1F7.png, 🇸🇷, U+1F1F8 U+1F1F7
U+1F1F8_U+1F1EF.png, 🇸🇯, U+1F1F8 U+1F1EF
U+1F1F8_U+1F1EA.png, 🇸🇪, U+1F1F8 U+1F1EA
U+1F1E8_U+1F1ED.png, 🇨🇭, U+1F1E8 U+1F1ED
U+1F1F8_U+1F1FE.png, 🇸🇾, U+1F1F8 U+1F1FE
U+1F1F8_U+1F1F9.png, 🇸🇹, U+1F1F8 U+1F1F9
U+1F996.png, 🦖, U+1F996
U+1F51D.png, 🔝, U+1F51D
U+1F1F9_U+1F1FC.png, 🇹🇼, U+1F1F9 U+1F1FC
U+1F1F9_U+1F1EF.png, 🇹🇯, U+1F1F9 U+1F1EF
U+1F1F9_U+1F1FF.png, 🇹🇿, U+1F1F9 U+1F1FF
U+2649.png, ♉, U+2649
U+1F1F9_U+1F1ED.png, 🇹🇭, U+1F1F9 U+1F1ED
U+1F1F9_U+1F1F1.png, 🇹🇱, U+1F1F9 U+1F1F1
U+1F1F9_U+1F1EC.png, 🇹🇬, U+1F1F9 U+1F1EC
U+1F1F9_U+1F1F0.png, 🇹🇰, U+1F1F9 U+1F1F0
U+1F5FC.png, 🗼, U+1F5FC
U+1F1F9_U+1F1F4.png, 🇹🇴, U+1F1F9 U+1F1F4
U+1F1F9_U+1F1F9.png, 🇹🇹, U+1F1F9 U+1F1F9
U+1F1F9_U+1F1E6.png, 🇹🇦, U+1F1F9 U+1F1E6
U+1F1F9_U+1F1F3.png, 🇹🇳, U+1F1F9 U+1F1F3
U+1F1F9_U+1F1F2.png, 🇹🇲, U+1F1F9 U+1F1F2
U+1F1F9_U+1F1E8.png, 🇹🇨, U+1F1F9 U+1F1E8
U+1F1F9_U+1F1FB.png, 🇹🇻, U+1F1F9 U+1F1FB
U+1F1F9_U+1F1F7.png, 🇹🇷, U+1F1F9 U+1F1F7
U+1F1FA_U+1F1F2.png, 🇺🇲, U+1F1FA U+1F1F2
U+1F1FB_U+1F1EE.png, 🇻🇮, U+1F1FB U+1F1EE
U+1F199.png, 🆙, U+1F199
U+1F1FA_U+1F1EC.png, 🇺🇬, U+1F1FA U+1F1EC
U+1F1FA_U+1F1E6.png, 🇺🇦, U+1F1FA U+1F1E6
U+1F1E6_U+1F1EA.png, 🇦🇪, U+1F1E6 U+1F1EA
U+1F1EC_U+1F1E7.png, 🇬🇧, U+1F1EC U+1F1E7
U+1F1FA_U+1F1F3.png, 🇺🇳, U+1F1FA U+1F1F3
U+1F1FA_U+1F1F8.png, 🇺🇸, U+1F1FA U+1F1F8
U+1F1FA_U+1F1FE.png, 🇺🇾, U+1F1FA U+1F1FE
U+1F1FA_U+1F1FF.png, 🇺🇿, U+1F1FA U+1F1FF
U+1F19A.png, 🆚, U+1F19A
U+1F1FB_U+1F1FA.png, 🇻🇺, U+1F1FB U+1F1FA
U+1F1FB_U+1F1E6.png, 🇻🇦, U+1F1FB U+1F1E6
U+1F1FB_U+1F1EA.png, 🇻🇪, U+1F1FB U+1F1EA
U+1F1FB_U+1F1F3.png, 🇻🇳, U+1F1FB U+1F1F3
U+264D.png, ♍, U+264D
U+1F3F4_U+E0067_U+E0062_U+E0077_U+E006C_U+E0073_U+E007F.png, 🏴󠁧󠁢󠁷󠁬󠁳󠁿, U+1F3F4 U+E0067 U+E0062 U+E0077 U+E006C U+E0073 U+E007F
U+1F1FC_U+1F1EB.png, 🇼🇫, U+1F1FC U+1F1EB
U+1F1EA_U+1F1ED.png, 🇪🇭, U+1F1EA U+1F1ED
U+1F1FE_U+1F1EA.png, 🇾🇪, U+1F1FE U+1F1EA
U+1F4A4.png, 💤, U+1F4A4
U+1F1FF_U+1F1F2.png, 🇿🇲, U+1F1FF U+1F1F2
U+1F1FF_U+1F1FC.png, 🇿🇼, U+1F1FF U+1F1FC
U+1F9EE.png, 🧮, U+1F9EE
U+1FA97.png, 🪗, U+1FA97
U+1FA79.png, 🩹, U+1FA79
U+1F39F_U+FE0F.png, 🎟️, U+1F39F U+FE0F
U+1F39F.png, 🎟, U+1F39F
U+1F6A1.png, 🚡, U+1F6A1
U+2708_U+FE0F.png, ✈️, U+2708 U+FE0F
U+2708.png, ✈, U+2708
U+1F6EC.png, 🛬, U+1F6EC
U+1F6EB.png, 🛫, U+1F6EB
U+23F0.png, ⏰, U+23F0
U+2697_U+FE0F.png, ⚗️, U+2697 U+FE0F
U+2697.png, ⚗, U+2697
U+1F47D.png, 👽, U+1F47D
U+1F47E.png, 👾, U+1F47E
U+1F691.png, 🚑, U+1F691
